""
"('FeLip9', 'PET', 1, 16, 20, 38)"
"('FeLip9', 'PET', 1, 16, 21, 43)"
"('FeLip9', 'PET', 1, 16, 22, 46)"
"('FeLip9', 'PET', 1, 16, 23, 54)"
"('FeLip9', 'PET', 1, 16, 24, 55)"
"('FeLip9', 'PET', 1, 16, 25, 58)"
"('FeLip9', 'PET', 1, 16, 26, 61)"
"('FeLip9', 'PET', 1, 16, 27, 62)"
"('FeLip9', 'PET', 1, 16, 28, 63)"
"('FeLip9', 'PET', 1, 16, 29, 65)"
"('FeLip9', 'PET', 1, 16, 30, 66)"
"('FeLip9', 'PET', 1, 16, 31, 67)"
"('FeLip9', 'PET', 1, 16, 32, 68)"
"('FeLip9', 'PET', 1, 16, 33, 69)"
"('FeLip9', 'PET', 1, 16, 34, 72)"
"('FeLip9', 'PET', 1, 16, 35, 74)"
"('FeLip9', 'PET', 1, 16, 36, 77)"
"('FeLip9', 'PET', 1, 16, 37, 80)"
"('FeLip9', 'PET', 1, 16, 38, 81)"
"('FeLip9', 'PET', 1, 16, 39, 82)"
"('FeLip9', 'PET', 1, 16, 40, 85)"
"('FeLip9', 'PET', 1, 16, 41, 86)"
"('FeLip9', 'PET', 1, 16, 42, 89)"
"('FeLip9', 'PET', 1, 16, 43, 90)"
"('FeLip9', 'PET', 1, 16, 44, 91)"
"('FeLip9', 'PET', 1, 16, 45, 92)"
"('FeLip9', 'PET', 1, 16, 46, 99)"
"('FeLip9', 'PET', 1, 16, 47, 100)"
"('FeLip9', 'PET', 1, 17, 0, 0)"
"('FeLip9', 'PET', 1, 17, 1, 1)"
"('FeLip9', 'PET', 1, 17, 2, 2)"
"('FeLip9', 'PET', 1, 17, 3, 3)"
"('FeLip9', 'PET', 1, 17, 4, 4)"
"('FeLip9', 'PET', 1, 17, 5, 6)"
"('FeLip9', 'PET', 1, 17, 6, 54)"
"('FeLip9', 'PET', 1, 17, 7, 71)"
"('FeLip9', 'PET', 1, 17, 8, 82)"
"('FeLip9', 'PET', 1, 17, 9, 91)"
"('FeLip9', 'PET', 1, 17, 10, 98)"
"('FeLip9', 'PET', 1, 18, 0, 0)"
"('FeLip9', 'PET', 1, 18, 1, 1)"
"('FeLip9', 'PET', 1, 18, 2, 2)"
"('FeLip9', 'PET', 1, 18, 3, 13)"
"('FeLip9', 'PET', 1, 18, 4, 24)"
"('FeLip9', 'PET', 1, 18, 5, 48)"
"('FeLip9', 'PET', 1, 18, 6, 51)"
"('FeLip9', 'PET', 1, 18, 7, 53)"
"('FeLip9', 'PET', 1, 18, 8, 54)"
"('FeLip9', 'PET', 1, 18, 9, 55)"
"('FeLip9', 'PET', 1, 18, 10, 75)"
"('FeLip9', 'PET', 1, 18, 11, 80)"
"('FeLip9', 'PET', 1, 18, 12, 94)"
"('FeLip9', 'PET', 1, 19, 0, 0)"
"('FeLip9', 'PET', 1, 19, 1, 1)"
"('FeLip9', 'PET', 1, 19, 2, 2)"
"('FeLip9', 'PET', 1, 19, 3, 3)"
"('FeLip9', 'PET', 1, 19, 4, 4)"
"('FeLip9', 'PET', 1, 19, 5, 7)"
"('FeLip9', 'PET', 1, 19, 6, 14)"
"('FeLip9', 'PET', 1, 19, 7, 15)"
"('FeLip9', 'PET', 1, 19, 8, 16)"
"('FeLip9', 'PET', 1, 19, 9, 18)"
"('FeLip9', 'PET', 1, 19, 10, 21)"
"('FeLip9', 'PET', 1, 19, 11, 23)"
"('FeLip9', 'PET', 1, 19, 12, 27)"
"('FeLip9', 'PET', 1, 19, 13, 30)"
"('FeLip9', 'PET', 1, 19, 14, 32)"
"('FeLip9', 'PET', 1, 19, 15, 40)"
"('FeLip9', 'PET', 1, 19, 16, 44)"
"('FeLip9', 'PET', 1, 19, 17, 46)"
"('FeLip9', 'PET', 1, 19, 18, 48)"
"('FeLip9', 'PET', 1, 19, 19, 51)"
"('FeLip9', 'PET', 1, 19, 20, 60)"
"('FeLip9', 'PET', 1, 19, 21, 64)"
"('FeLip9', 'PET', 1, 19, 22, 69)"
"('FeLip9', 'PET', 1, 19, 23, 70)"
"('FeLip9', 'PET', 1, 19, 24, 71)"
"('FeLip9', 'PET', 1, 19, 25, 74)"
"('FeLip9', 'PET', 1, 19, 26, 76)"
"('FeLip9', 'PET', 1, 19, 27, 83)"
"('FeLip9', 'PET', 1, 19, 28, 85)"
"('FeLip9', 'PET', 1, 19, 29, 87)"
"('FeLip9', 'PET', 1, 19, 30, 91)"
"('FeLip9', 'PET', 1, 19, 31, 93)"
"('FeLip9', 'PET', 1, 20, 0, 0)"
"('FeLip9', 'PET', 1, 20, 1, 2)"
"('FeLip9', 'PET', 1, 20, 2, 3)"
"('FeLip9', 'PET', 1, 20, 3, 7)"
"('FeLip9', 'PET', 1, 20, 4, 11)"
"('FeLip9', 'PET', 1, 20, 5, 14)"
"('FeLip9', 'PET', 1, 20, 6, 16)"
"('FeLip9', 'PET', 1, 20, 7, 20)"
"('FeLip9', 'PET', 1, 20, 8, 22)"
"('FeLip9', 'PET', 1, 20, 9, 24)"
"('FeLip9', 'PET', 1, 20, 10, 29)"
"('FeLip9', 'PET', 1, 20, 11, 45)"
"('FeLip9', 'PET', 1, 20, 12, 51)"
"('FeLip9', 'PET', 1, 20, 13, 53)"
