,Total Energy,Binding Energy,Ligand SASA
"('FeLip9', 'PET', 1, 10, 5, 7)",-7141.09,-24.8852,0.749954
"('FeLip9', 'PET', 1, 10, 6, 8)",-7144.2,-27.6501,0.661017
"('FeLip9', 'PET', 1, 10, 7, 10)",-7137.03,-24.9508,0.657495
"('FeLip9', 'PET', 1, 10, 8, 14)",-7142.12,-25.6149,0.632679
"('FeLip9', 'PET', 1, 10, 9, 15)",-7150.78,-27.5518,0.56818
"('FeLip9', 'PET', 1, 10, 10, 18)",-7150.9,-29.2108,0.55522
"('FeLip9', 'PET', 1, 10, 11, 20)",-7146.68,-24.2752,0.58144
"('FeLip9', 'PET', 1, 10, 12, 26)",-7147.51,-24.1342,0.568044
"('FeLip9', 'PET', 1, 10, 13, 29)",-7148.21,-24.9462,0.572822
"('FeLip9', 'PET', 1, 10, 14, 45)",-7146.78,-25.5343,0.561584
"('FeLip9', 'PET', 1, 10, 15, 46)",-7146.33,-24.5215,0.592485
"('FeLip9', 'PET', 1, 10, 16, 47)",-7147.12,-25.6528,0.56816
"('FeLip9', 'PET', 1, 10, 17, 53)",-7147.94,-28.2258,0.548204
"('FeLip9', 'PET', 1, 10, 18, 55)",-7144.75,-33.2075,0.616332
"('FeLip9', 'PET', 1, 10, 19, 75)",-7144.73,-32.4799,0.631531
"('FeLip9', 'PET', 1, 10, 20, 77)",-7143.34,-33.4474,0.592478
"('FeLip9', 'PET', 1, 10, 21, 79)",-7141.99,-30.665,0.618337
"('FeLip9', 'PET', 1, 10, 22, 89)",-7148.52,-37.8187,0.602788
"('FeLip9', 'PET', 1, 10, 23, 94)",-7150.64,-39.3768,0.584895
"('FeLip9', 'PET', 1, 11, 0, 0)",-7139.23,-43.3547,0.553989
"('FeLip9', 'PET', 1, 11, 1, 2)",-7152.05,-20.1887,0.740525
"('FeLip9', 'PET', 1, 11, 2, 5)",-7156.59,-28.1068,0.672896
"('FeLip9', 'PET', 1, 11, 3, 6)",-7160.15,-28.6555,0.623433
"('FeLip9', 'PET', 1, 11, 4, 14)",-7166.27,-33.6182,0.607768
"('FeLip9', 'PET', 1, 11, 5, 47)",-7167.05,-36.6756,0.579609
"('FeLip9', 'PET', 1, 11, 6, 48)",-7164.37,-35.6883,0.597591
"('FeLip9', 'PET', 1, 11, 7, 60)",-7165.92,-34.708,0.59329
"('FeLip9', 'PET', 1, 11, 8, 62)",-7169.33,-38.5745,0.580028
"('FeLip9', 'PET', 1, 11, 9, 87)",-7169.68,-38.5059,0.587479
"('FeLip9', 'PET', 1, 12, 0, 0)",-7140.73,-42.7665,0.535009
"('FeLip9', 'PET', 1, 12, 1, 2)",-7144.52,-14.5945,0.6834
"('FeLip9', 'PET', 1, 12, 2, 4)",-7156.06,-19.1643,0.638756
"('FeLip9', 'PET', 1, 12, 3, 8)",-7153.3,-13.5474,0.795866
"('FeLip9', 'PET', 1, 12, 4, 10)",-7160.78,-22.1555,0.669284
"('FeLip9', 'PET', 1, 12, 5, 13)",-7160.29,-19.3855,0.73296
"('FeLip9', 'PET', 1, 12, 6, 14)",-7156.56,-11.462,0.763921
"('FeLip9', 'PET', 1, 12, 7, 15)",-7155.32,-10.5457,0.761012
"('FeLip9', 'PET', 1, 12, 8, 17)",-7149.76,-1.29997,0.739241
"('FeLip9', 'PET', 1, 12, 9, 18)",-7151.04,-2.81017,0.746386
"('FeLip9', 'PET', 1, 12, 10, 20)",-7152.09,-2.5027,0.705963
"('FeLip9', 'PET', 1, 12, 11, 21)",-7152.62,-1.40903,0.713172
"('FeLip9', 'PET', 1, 12, 12, 22)",-7151.32,-0.877907,0.70875
"('FeLip9', 'PET', 1, 12, 13, 23)",-7150.5,0.448953,0.71557
"('FeLip9', 'PET', 1, 12, 14, 24)",-7156.09,-12.0259,0.665952
"('FeLip9', 'PET', 1, 12, 15, 25)",-7157.86,-12.0715,0.645202
"('FeLip9', 'PET', 1, 12, 16, 26)",-7155.77,-10.8295,0.663113
"('FeLip9', 'PET', 1, 12, 17, 27)",-7157.13,-12.229,0.670656
"('FeLip9', 'PET', 1, 12, 18, 28)",-7157.11,-12.3748,0.672304
"('FeLip9', 'PET', 1, 12, 19, 29)",-7153.81,-10.7709,0.675011
"('FeLip9', 'PET', 1, 12, 20, 30)",-7154.0,-10.9876,0.658369
"('FeLip9', 'PET', 1, 12, 21, 31)",-7155.84,-10.3593,0.670946
"('FeLip9', 'PET', 1, 12, 22, 32)",-7154.99,-9.47542,0.677189
"('FeLip9', 'PET', 1, 12, 23, 33)",-7158.31,-12.9047,0.672344
"('FeLip9', 'PET', 1, 12, 24, 34)",-7158.16,-16.1076,0.638136
"('FeLip9', 'PET', 1, 12, 25, 35)",-7157.48,-15.2603,0.636224
"('FeLip9', 'PET', 1, 12, 26, 36)",-7151.05,-9.49999,0.641523
"('FeLip9', 'PET', 1, 12, 27, 49)",-7155.14,-12.6418,0.643861
"('FeLip9', 'PET', 1, 12, 28, 54)",-7151.16,-7.95938,0.664329
"('FeLip9', 'PET', 1, 12, 29, 55)",-7151.41,-8.90671,0.652919
"('FeLip9', 'PET', 1, 12, 30, 56)",-7149.87,-11.5338,0.645531
"('FeLip9', 'PET', 1, 12, 31, 58)",-7154.14,-11.0526,0.642607
"('FeLip9', 'PET', 1, 12, 32, 64)",-7158.05,-17.209,0.624531
"('FeLip9', 'PET', 1, 12, 33, 68)",-7158.45,-14.1146,0.623842
"('FeLip9', 'PET', 1, 12, 34, 76)",-7158.33,-16.4958,0.614663
"('FeLip9', 'PET', 1, 12, 35, 78)",-7157.99,-17.0852,0.614135
"('FeLip9', 'PET', 1, 12, 36, 84)",-7158.39,-17.8614,0.618228
"('FeLip9', 'PET', 1, 12, 37, 86)",-7158.17,-15.8981,0.629389
"('FeLip9', 'PET', 1, 13, 0, 0)",-7135.24,-43.9213,0.534393
"('FeLip9', 'PET', 1, 13, 1, 1)",-7134.97,-16.9851,0.724855
"('FeLip9', 'PET', 1, 13, 2, 2)",-7150.25,-19.9055,0.725693
"('FeLip9', 'PET', 1, 13, 3, 3)",-7152.66,-21.3394,0.653074
"('FeLip9', 'PET', 1, 13, 4, 15)",-7157.76,-24.8707,0.669119
